sentiment,objectivity,emotion,type,variant
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,violent,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,declare
positive,pers,violent,FICTION,declare
positive,pers,violent,FICTION,declare
neutral,pers,plain,FICTION,declare
negative,pers,violent,FICTION,declare
negative,pers,violent,FICTION,declare
neutral,pers,violent,FICTION,declare
negative,pers,plain,FICTION,declare
negative,pers,plain,FICTION,declare
negative,pers,violent,FICTION,declare
neutral,org,plain,FICTION,declare
negative,org,plain,FICTION,declare
negative,org,plain,FICTION,declare
negative,pers,violent,FICTION,declare
negative,pers,violent,FICTION,declare
neutral,org,plain,FICTION,declare
negative,pers,violent,FICTION,declare
negative,org,plain,FICTION,declare
neutral,pers,violent,FICTION,declare
negative,pers,violent,FICTION,declare
negative,org,plain,FICTION,declare
positive,pers,violent,FICTION,declare
neutral,pers,plain,FICTION,declare
negative,pers,violent,FICTION,declare
neutral,org,plain,FICTION,declare
positive,pers,violent,FICTION,declare
negative,pers,violent,FICTION,declare
negative,pers,plain,FICTION,declare
negative,pers,plain,FICTION,declare
positive,pers,violent,FICTION,declare
negative,pers,violent,FICTION,declare
negative,pers,plain,FICTION,declare
negative,pers,plain,FICTION,declare
positive,pers,plain,FICTION,declare
neutral,pers,plain,FICTION,declare
neutral,org,plain,FICTION,declare
neutral,pers,violent,FICTION,declare
negative,pers,plain,FICTION,declare
neutral,pers,violent,FICTION,declare
neutral,pers,plain,FICTION,declare
neutral,pers,plain,FICTION,declare
positive,pers,plain,FICTION,declare
positive,pers,violent,FICTION,declare
neutral,pers,plain,FICTION,declare
neutral,pers,plain,FICTION,declare
neutral,org,plain,FICTION,declare
neutral,pers,violent,FICTION,declare
negative,pers,plain,FICTION,declare
negative,pers,plain,FICTION,declare
negative,org,plain,FICTION,declare
neutral,pers,violent,FICTION,declare
positive,pers,plain,FICTION,declare
positive,pers,plain,FICTION,declare
neutral,pers,plain,FICTION,declare
neutral,org,plain,FICTION,declare
negative,pers,violent,FICTION,declare
negative,pers,violent,FICTION,declare
neutral,pers,violent,FICTION,declare
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
positive,org,plain,NEWS,announce
positive,pers,plain,NEWS,announce
neutral,org,plain,NEWS,announce
negative,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,pers,plain,NEWS,announce
neutral,org,plain,NEWS,announce
neutral,org,plain,NEWS,announce
